TOTAL: Tests run: 298, Failures: 0, Errors: 0, Skipped: 0

click.kivvi.application.AutomationsViewServiceTest.txt: Tests run: 9, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.CampaignsViewServiceTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.CustomersViewServiceTest.txt: Tests run: 8, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.DashboardViewServiceTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.EventsViewServiceTest.txt: Tests run: 9, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.FeedsViewServiceTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.ImportViewServiceTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.LoginServiceTest.txt: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.PreferencesServiceTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.SettingsViewServiceTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.ShellViewServiceTest.txt: Tests run: 13, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.WidgetViewServiceTest.txt: Tests run: 10, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.application.tracking.EventIngestionServiceTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.architecture.ArchitectureTest.txt: Tests run: 5, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.domain.EmailValidationTest.txt: Tests run: 3, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.domain.IdentityTest.txt: Tests run: 2, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.domain.RouteTableTest.txt: Tests run: 3, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.domain.SpaDocumentTest.txt: Tests run: 3, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.domain.tracking.EventTypeTest.txt: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.domain.tracking.TrackedEventTest.txt: Tests run: 21, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.domain.tracking.TrackedSiteTest.txt: Tests run: 5, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.fixtures.AutomationsFixturesTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.fixtures.CustomersFixturesTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.fixtures.LandingFixturesTest.txt: Tests run: 5, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.fixtures.SettingsFixturesTest.txt: Tests run: 8, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.infrastructure.importing.ImportUploadStorageTest.txt: Tests run: 9, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.infrastructure.mercure.HttpMercurePublisherTest.txt: Tests run: 5, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.infrastructure.scheduling.HeartbeatJobTest.txt: Tests run: 1, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.infrastructure.scheduling.HeartbeatTriggerTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.infrastructure.session.SessionLockRegistryTest.txt: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.infrastructure.session.SessionRequestSerializationFilterTest.txt: Tests run: 5, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.infrastructure.tracking.EventDedupCleanupJobTest.txt: Tests run: 1, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.testsupport.FailOnWarnLogExtensionTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.AutomationsControllerTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.CampaignsControllerTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.CollectControllerTest.txt: Tests run: 9, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.CustomersControllerTest.txt: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.DashboardControllerTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.EventsControllerTest.txt: Tests run: 3, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.FeedsControllerTest.txt: Tests run: 2, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.ImportControllerTest.txt: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.ImportUploadControllerTest.txt: Tests run: 2, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.LandingControllerTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.LoginControllerTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.PreferencesControllerTest.txt: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.SettingsControllerTest.txt: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.SpaDocumentControllerTest.txt: Tests run: 23, Failures: 0, Errors: 0, Skipped: 0
click.kivvi.web.WidgetControllerTest.txt: Tests run: 8, Failures: 0, Errors: 0, Skipped: 0
