Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in click.kivvi.application.CampaignsViewServiceTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.020 s -- in click.kivvi.application.EventsViewServiceTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in click.kivvi.application.FeedsViewServiceTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in click.kivvi.application.LoginServiceTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.020 s -- in click.kivvi.application.CustomersViewServiceTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in click.kivvi.application.PreferencesServiceTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in click.kivvi.domain.SpaDocumentTest
Tests run: 21, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.061 s -- in click.kivvi.domain.tracking.TrackedEventTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in click.kivvi.domain.IdentityTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in click.kivvi.domain.RouteTableTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in click.kivvi.domain.tracking.EventTypeTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in click.kivvi.application.AutomationsViewServiceTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in click.kivvi.domain.tracking.TrackedSiteTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in click.kivvi.testsupport.FailOnWarnLogExtensionTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.429 s -- in click.kivvi.infrastructure.session.SessionRequestSerializationFilterTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in click.kivvi.infrastructure.tracking.EventDedupCleanupJobTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.117 s -- in click.kivvi.infrastructure.session.SessionLockRegistryTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.171 s -- in click.kivvi.web.WidgetControllerTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in click.kivvi.domain.EmailValidationTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in click.kivvi.infrastructure.scheduling.HeartbeatTriggerTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.801 s -- in click.kivvi.web.SettingsControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.144 s -- in click.kivvi.application.tracking.EventIngestionServiceTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in click.kivvi.application.SettingsViewServiceTest
Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.151 s -- in click.kivvi.web.SpaDocumentControllerTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in click.kivvi.infrastructure.scheduling.HeartbeatJobTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.121 s -- in click.kivvi.web.LoginControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.099 s -- in click.kivvi.web.PreferencesControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.059 s -- in click.kivvi.application.ShellViewServiceTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.202 s -- in click.kivvi.web.AutomationsControllerTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in click.kivvi.fixtures.LandingFixturesTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.108 s -- in click.kivvi.web.LandingControllerTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in click.kivvi.fixtures.AutomationsFixturesTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 1, Time elapsed: 0.006 s -- in click.kivvi.SessionRequestSerializationRedProofIT
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.150 s -- in click.kivvi.web.CustomersControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in click.kivvi.fixtures.CustomersFixturesTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.322 s -- in click.kivvi.SessionRequestSerializationIT
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.277 s -- in click.kivvi.web.CollectControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.037 s -- in click.kivvi.infrastructure.tracking.EventDedupStoreIT
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.044 s -- in click.kivvi.CollectApiIT
Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in click.kivvi.application.WidgetViewServiceTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.939 s -- in click.kivvi.SessionRoundTripIT
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.967 s -- in click.kivvi.AutomationsApiIT
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.260 s -- in click.kivvi.web.CampaignsControllerTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.362 s -- in click.kivvi.architecture.ArchitectureTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.201 s -- in click.kivvi.infrastructure.scheduling.HeartbeatSchedulerIT
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.157 s -- in click.kivvi.web.FeedsControllerTest
Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.041 s -- in click.kivvi.SettingsApiIT
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.986 s -- in click.kivvi.LandingApiIT
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.021 s -- in click.kivvi.fixtures.SettingsFixturesTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.178 s -- in click.kivvi.infrastructure.mercure.HttpMercurePublisherTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.016 s -- in click.kivvi.ShellApiIT
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.916 s -- in click.kivvi.FeedsApiIT
Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.962 s -- in click.kivvi.WidgetApiIT
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.863 s -- in click.kivvi.CampaignsApiIT
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.121 s -- in click.kivvi.web.EventsControllerTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.970 s -- in click.kivvi.CustomersApiIT
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.840 s -- in click.kivvi.EventsApiIT

mvn verify — combined surefire+failsafe summary
total=333 failures=0 errors=0 skipped=0
