Backend Surefire summary (./mvnw -q test), JAVA_HOME=jdk-25, cwd=backend
Wave SHA: dae169614a52532c130bd34435994d6a914165c0

click.kivvi.application.AutomationsViewServiceTest :: Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in click.kivvi.application.AutomationsViewServiceTest
click.kivvi.application.CampaignsViewServiceTest :: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in click.kivvi.application.CampaignsViewServiceTest
click.kivvi.application.CustomersViewServiceTest :: Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.015 s -- in click.kivvi.application.CustomersViewServiceTest
click.kivvi.application.DashboardViewServiceTest :: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in click.kivvi.application.DashboardViewServiceTest
click.kivvi.application.EventsViewServiceTest :: Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in click.kivvi.application.EventsViewServiceTest
click.kivvi.application.FeedsViewServiceTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in click.kivvi.application.FeedsViewServiceTest
click.kivvi.application.ImportViewServiceTest :: Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in click.kivvi.application.ImportViewServiceTest
click.kivvi.application.LoginServiceTest :: Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in click.kivvi.application.LoginServiceTest
click.kivvi.application.PreferencesServiceTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in click.kivvi.application.PreferencesServiceTest
click.kivvi.application.SettingsViewServiceTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in click.kivvi.application.SettingsViewServiceTest
click.kivvi.application.ShellViewServiceTest :: Tests run: 13, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.106 s -- in click.kivvi.application.ShellViewServiceTest
click.kivvi.application.tracking.EventIngestionServiceTest :: Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.149 s -- in click.kivvi.application.tracking.EventIngestionServiceTest
