Backend unit test run (mvn test, Surefire) — wave-2 round 2 verification
SHA b87a701244f5316e1a53bace7a1e41facdffc277

click.kivvi.application.CustomersViewServiceTest.txt:Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.066 s -- in click.kivvi.application.CustomersViewServiceTest
click.kivvi.application.EventsViewServiceTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.147 s -- in click.kivvi.application.EventsViewServiceTest
click.kivvi.application.FeedsViewServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.080 s -- in click.kivvi.application.FeedsViewServiceTest
click.kivvi.application.LoginServiceTest.txt:Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.112 s -- in click.kivvi.application.LoginServiceTest
click.kivvi.application.PreferencesServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.039 s -- in click.kivvi.application.PreferencesServiceTest
click.kivvi.application.ShellViewServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.408 s -- in click.kivvi.application.ShellViewServiceTest
click.kivvi.application.tracking.EventIngestionServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.305 s -- in click.kivvi.application.tracking.EventIngestionServiceTest
click.kivvi.architecture.ArchitectureTest.txt:Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 3.015 s -- in click.kivvi.architecture.ArchitectureTest
click.kivvi.domain.EmailValidationTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in click.kivvi.domain.EmailValidationTest
click.kivvi.domain.IdentityTest.txt:Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in click.kivvi.domain.IdentityTest
click.kivvi.domain.RouteTableTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in click.kivvi.domain.RouteTableTest
click.kivvi.domain.SpaDocumentTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in click.kivvi.domain.SpaDocumentTest
click.kivvi.domain.tracking.EventTypeTest.txt:Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in click.kivvi.domain.tracking.EventTypeTest
click.kivvi.domain.tracking.TrackedEventTest.txt:Tests run: 21, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.080 s -- in click.kivvi.domain.tracking.TrackedEventTest
click.kivvi.domain.tracking.TrackedSiteTest.txt:Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in click.kivvi.domain.tracking.TrackedSiteTest
click.kivvi.fixtures.CustomersFixturesTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in click.kivvi.fixtures.CustomersFixturesTest
click.kivvi.fixtures.LandingFixturesTest.txt:Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.030 s -- in click.kivvi.fixtures.LandingFixturesTest
click.kivvi.infrastructure.mercure.HttpMercurePublisherTest.txt:Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.434 s -- in click.kivvi.infrastructure.mercure.HttpMercurePublisherTest
click.kivvi.infrastructure.scheduling.HeartbeatJobTest.txt:Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in click.kivvi.infrastructure.scheduling.HeartbeatJobTest
click.kivvi.infrastructure.scheduling.HeartbeatTriggerTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.014 s -- in click.kivvi.infrastructure.scheduling.HeartbeatTriggerTest
click.kivvi.infrastructure.tracking.EventDedupCleanupJobTest.txt:Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in click.kivvi.infrastructure.tracking.EventDedupCleanupJobTest
click.kivvi.testsupport.FailOnWarnLogExtensionTest.txt:Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in click.kivvi.testsupport.FailOnWarnLogExtensionTest
click.kivvi.web.CollectControllerTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.383 s -- in click.kivvi.web.CollectControllerTest
click.kivvi.web.CustomersControllerTest.txt:Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.740 s -- in click.kivvi.web.CustomersControllerTest
click.kivvi.web.EventsControllerTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.151 s -- in click.kivvi.web.EventsControllerTest
click.kivvi.web.FeedsControllerTest.txt:Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.888 s -- in click.kivvi.web.FeedsControllerTest
click.kivvi.web.LandingControllerTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.362 s -- in click.kivvi.web.LandingControllerTest
click.kivvi.web.LoginControllerTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.856 s -- in click.kivvi.web.LoginControllerTest
click.kivvi.web.PreferencesControllerTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.212 s -- in click.kivvi.web.PreferencesControllerTest
click.kivvi.web.SpaDocumentControllerTest.txt:Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.252 s -- in click.kivvi.web.SpaDocumentControllerTest

AGGREGATE: classes=30 total_tests=170 failures=0 errors=0 skipped=0
