journey,step,viewport,oracle_status,ae_pixels,total_pixels,pct,identical(compare_mjs)
event-stream,1,desktop,200,0,1296000,0.0000%,check
event-stream,1,mobile,200,0,329160,0.0000%,check
event-stream,2,desktop,n/a,458,1296000,0.0353%,check
event-stream,2,mobile,n/a,0,329160,0.0000%,check
event-stream,3,desktop,n/a,458,1296000,0.0353%,check
event-stream,3,mobile,n/a,0,329160,0.0000%,check
event-stream,4,desktop,n/a,458,1296000,0.0353%,check
event-stream,4,mobile,n/a,0,329160,0.0000%,check
event-stream,5,desktop,n/a,458,1296000,0.0353%,check
event-stream,5,mobile,n/a,0,329160,0.0000%,check
event-stream,6,desktop,n/a,458,1296000,0.0353%,check
event-stream,6,mobile,n/a,0,329160,0.0000%,check
event-stream,7,desktop,200,0,1296000,0.0000%,check
event-stream,7,mobile,200,0,329160,0.0000%,check
customers,1,desktop,200,0,1296000,0.0000%,check
customers,1,mobile,200,0,329160,0.0000%,check
customers,2,desktop,200,0,1296000,0.0000%,check
customers,2,mobile,200,0,329160,0.0000%,check
customers,3,desktop,200,0,1296000,0.0000%,check
customers,3,mobile,200,0,329160,0.0000%,check
customers,4,desktop,n/a,0,1296000,0.0000%,check
customers,4,mobile,n/a,0,329160,0.0000%,check
customers,5,desktop,n/a,0,1296000,0.0000%,check
customers,5,mobile,n/a,0,329160,0.0000%,check
customers,6,desktop,404,SKIPPED(DEV-12),SKIPPED,SKIPPED,skip
customers,6,mobile,404,SKIPPED(DEV-12),SKIPPED,SKIPPED,skip
