journey,step,file,result
event-stream,1,texts.json,IDENTICAL
event-stream,1,a11y.json,IDENTICAL
event-stream,2,texts.json,IDENTICAL
event-stream,2,a11y.json,IDENTICAL
event-stream,3,texts.json,IDENTICAL
event-stream,3,a11y.json,IDENTICAL
event-stream,4,texts.json,IDENTICAL
event-stream,4,a11y.json,IDENTICAL
event-stream,5,texts.json,IDENTICAL
event-stream,5,a11y.json,IDENTICAL
event-stream,6,texts.json,IDENTICAL
event-stream,6,a11y.json,IDENTICAL
event-stream,7,texts.json,IDENTICAL
event-stream,7,a11y.json,IDENTICAL
customers,1,texts.json,IDENTICAL
customers,1,a11y.json,IDENTICAL
customers,2,texts.json,IDENTICAL
customers,2,a11y.json,IDENTICAL
customers,3,texts.json,IDENTICAL
customers,3,a11y.json,IDENTICAL
customers,4,texts.json,IDENTICAL
customers,4,a11y.json,IDENTICAL
customers,5,texts.json,IDENTICAL
customers,5,a11y.json,IDENTICAL
customers,6,texts.json,SKIPPED(DEV-12)
customers,6,a11y.json,SKIPPED(DEV-12)
