class,tests,failures,errors,skipped
click.kivvi.application.AutomationsViewServiceTest,9,0,0,0
click.kivvi.application.CampaignsViewServiceTest,7,0,0,0
click.kivvi.application.CustomersViewServiceTest,8,0,0,0
click.kivvi.application.EventsViewServiceTest,9,0,0,0
click.kivvi.application.FeedsViewServiceTest,4,0,0,0
click.kivvi.application.LoginServiceTest,6,0,0,0
click.kivvi.application.PreferencesServiceTest,4,0,0,0
click.kivvi.application.SettingsViewServiceTest,4,0,0,0
click.kivvi.application.ShellViewServiceTest,4,0,0,0
click.kivvi.application.tracking.EventIngestionServiceTest,4,0,0,0
click.kivvi.architecture.ArchitectureTest,5,0,0,0
click.kivvi.domain.EmailValidationTest,3,0,0,0
click.kivvi.domain.IdentityTest,2,0,0,0
click.kivvi.domain.RouteTableTest,3,0,0,0
click.kivvi.domain.SpaDocumentTest,3,0,0,0
click.kivvi.domain.tracking.EventTypeTest,6,0,0,0
click.kivvi.domain.tracking.TrackedEventTest,21,0,0,0
click.kivvi.domain.tracking.TrackedSiteTest,5,0,0,0
click.kivvi.fixtures.AutomationsFixturesTest,7,0,0,0
click.kivvi.fixtures.CustomersFixturesTest,4,0,0,0
click.kivvi.fixtures.LandingFixturesTest,5,0,0,0
click.kivvi.fixtures.SettingsFixturesTest,8,0,0,0
click.kivvi.infrastructure.mercure.HttpMercurePublisherTest,5,0,0,0
click.kivvi.infrastructure.scheduling.HeartbeatJobTest,1,0,0,0
click.kivvi.infrastructure.scheduling.HeartbeatTriggerTest,4,0,0,0
click.kivvi.infrastructure.tracking.EventDedupCleanupJobTest,1,0,0,0
click.kivvi.testsupport.FailOnWarnLogExtensionTest,7,0,0,0
click.kivvi.web.AutomationsControllerTest,7,0,0,0
click.kivvi.web.CampaignsControllerTest,7,0,0,0
click.kivvi.web.CollectControllerTest,9,0,0,0
click.kivvi.web.CustomersControllerTest,7,0,0,0
click.kivvi.web.EventsControllerTest,3,0,0,0
click.kivvi.web.FeedsControllerTest,2,0,0,0
click.kivvi.web.LandingControllerTest,4,0,0,0
click.kivvi.web.LoginControllerTest,4,0,0,0
click.kivvi.web.PreferencesControllerTest,4,0,0,0
click.kivvi.web.SettingsControllerTest,6,0,0,0
click.kivvi.web.SpaDocumentControllerTest,23,0,0,0
