Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in click.kivvi.application.CampaignsViewServiceTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in click.kivvi.application.CustomersViewServiceTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in click.kivvi.application.AutomationsViewServiceTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.020 s -- in click.kivvi.application.EventsViewServiceTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in click.kivvi.application.FeedsViewServiceTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in click.kivvi.domain.SpaDocumentTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in click.kivvi.application.PreferencesServiceTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in click.kivvi.domain.IdentityTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in click.kivvi.domain.tracking.EventTypeTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in click.kivvi.domain.RouteTableTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.014 s -- in click.kivvi.testsupport.FailOnWarnLogExtensionTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.045 s -- in click.kivvi.application.LoginServiceTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in click.kivvi.fixtures.AutomationsFixturesTest
Tests run: 21, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.082 s -- in click.kivvi.domain.tracking.TrackedEventTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in click.kivvi.infrastructure.scheduling.HeartbeatTriggerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in click.kivvi.application.SettingsViewServiceTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.207 s -- in click.kivvi.web.CustomersControllerTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.332 s -- in click.kivvi.web.CampaignsControllerTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.252 s -- in click.kivvi.web.AutomationsControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.149 s -- in click.kivvi.application.tracking.EventIngestionServiceTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.921 s -- in click.kivvi.web.SettingsControllerTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in click.kivvi.domain.tracking.TrackedSiteTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.655 s -- in click.kivvi.architecture.ArchitectureTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in click.kivvi.domain.EmailValidationTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.061 s -- in click.kivvi.application.ShellViewServiceTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.193 s -- in click.kivvi.web.FeedsControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in click.kivvi.fixtures.CustomersFixturesTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in click.kivvi.infrastructure.tracking.EventDedupCleanupJobTest
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.390 s -- in click.kivvi.web.CollectControllerTest
Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.023 s -- in click.kivvi.fixtures.SettingsFixturesTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.329 s -- in click.kivvi.infrastructure.mercure.HttpMercurePublisherTest
Tests run: 23, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.206 s -- in click.kivvi.web.SpaDocumentControllerTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in click.kivvi.fixtures.LandingFixturesTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.122 s -- in click.kivvi.web.PreferencesControllerTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.144 s -- in click.kivvi.web.EventsControllerTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in click.kivvi.infrastructure.scheduling.HeartbeatJobTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.151 s -- in click.kivvi.web.LandingControllerTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.200 s -- in click.kivvi.web.LoginControllerTest
