target/surefire-reports/click.kivvi.application.AutomationsViewServiceTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.025 s -- in click.kivvi.application.AutomationsViewServiceTest
target/surefire-reports/click.kivvi.application.CampaignsViewServiceTest.txt:Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.029 s -- in click.kivvi.application.CampaignsViewServiceTest
target/surefire-reports/click.kivvi.application.CustomersViewServiceTest.txt:Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.032 s -- in click.kivvi.application.CustomersViewServiceTest
target/surefire-reports/click.kivvi.application.EventsViewServiceTest.txt:Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.028 s -- in click.kivvi.application.EventsViewServiceTest
target/surefire-reports/click.kivvi.application.FeedsViewServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in click.kivvi.application.FeedsViewServiceTest
target/surefire-reports/click.kivvi.application.LoginServiceTest.txt:Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.059 s -- in click.kivvi.application.LoginServiceTest
target/surefire-reports/click.kivvi.application.PreferencesServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in click.kivvi.application.PreferencesServiceTest
target/surefire-reports/click.kivvi.application.SettingsViewServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in click.kivvi.application.SettingsViewServiceTest
target/surefire-reports/click.kivvi.application.ShellViewServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.085 s -- in click.kivvi.application.ShellViewServiceTest
target/surefire-reports/click.kivvi.application.tracking.EventIngestionServiceTest.txt:Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.193 s -- in click.kivvi.application.tracking.EventIngestionServiceTest
target/surefire-reports/click.kivvi.architecture.ArchitectureTest.txt:Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.600 s -- in click.kivvi.architecture.ArchitectureTest
target/surefire-reports/click.kivvi.domain.EmailValidationTest.txt:Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in click.kivvi.domain.EmailValidationTest
target/surefire-reports/click.kivvi.domain.IdentityTest.txt:Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in click.kivvi.domain.IdentityTest
