settings.account.companyName	Nazwa firmy
settings.account.vatId	NIP
settings.account.street	Adres
settings.account.cityAndPostcode	Miasto i kod
settings.account.country	Kraj
settings.account.countryPoland	Polska
settings.account.countryGermany	Niemcy
settings.account.countryCzechia	Czechy
settings.account.currency	Waluta raportowania
settings.account.transferOwnership	Przenieś własność
settings.account.require2fa	Wymagaj 2FA dla wszystkich członków zespołu
settings.account.sessionExpiry	Wyloguj sesje po 14 dniach nieaktywności
settings.account.deleteAccountTitle	Usuń konto i wszystkie dane
settings.account.deleteAccountBody	Zdarzenia, klienci, automatyzacje i szablony zostaną usunięte po 30 dniach.
settings.sites.columnDomain	Domena
settings.sites.columnTrackingStatus	Status śledzenia
settings.sites.columnEvents24h	Zdarzeń (24h)
settings.sites.columnScript	Skrypt
settings.sites.active	Aktywne
settings.sites.cardSub	3 z 5 wykorzystane w planie Pro
settings.sites.snippetHelpBefore	Wklej ten kod tuż przed
settings.sites.snippetHelpAfter	na wszystkich stronach. Skrypt waży ~2KB, ładuje się asynchronicznie, nie blokuje renderu.
settings.sites.scriptDetected	Skrypt wykryty na 14 z 14 stron
settings.sites.firstEvent	Pierwsze zdarzenie: 14 stycznia 2024
settings.team.columnPerson	Osoba
settings.team.columnRole	Rola
settings.team.invited	zaproszony
settings.team.mfaOn	włączone
settings.team.mfaOff	brak
settings.team.cardSub	4 aktywnych · 1 zaproszenie oczekuje · limit planu Pro: 10
settings.team.createRole	Rola własna
settings.team.personSingular	osoba
settings.team.personPlural	osoby
settings.providers.cardSub	failover przy błędzie głównego dostawcy jest włączony
settings.providers.addProvider	Dodaj dostawcę
settings.providers.verified	zweryfikowany
settings.providers.unverified	niezweryfikowany
settings.providers.sent30d	Wysłane 30d
settings.providers.complaints	Skargi
settings.providers.test	Test
settings.providers.defaultSender	Domyślny nadawca
settings.providers.senderName	Nazwa nadawcy
settings.providers.dailyLimit	Limit dzienny
settings.providers.unsubscribeOnHardBounce	Automatycznie wypisuj adresy po hard bounce
settings.providers.pauseOnBounceRate	Wstrzymaj kampanię, gdy bounce rate przekroczy 2%
settings.api.columnName	Nazwa
settings.api.columnKey	Klucz
settings.api.columnScopes	Zakresy
settings.api.columnCreated	Utworzony
settings.api.columnLastUsed	Ostatnie użycie
settings.api.webhooksCardTitle	Webhooks
settings.api.webhooksCardSub	retry z backoffem: 5 prób w ciągu 6 godzin
settings.api.webhookWarning	Webhook Slacka zwraca 410 od 3 godzin. Po 5 nieudanych próbach zostanie automatycznie wstrzymany.
settings.api.showLogs	Pokaż logi
settings.notifications.columnEvent	Zdarzenie
settings.notifications.cardSub	ustawienia dotyczą Twojego konta, nie całego zespołu
settings.notifications.active	aktywny
settings.notifications.disconnect	Rozłącz
settings.notifications.smsOnly	Tylko krytyczne alerty · dodatkowo płatne
settings.notifications.connect	Podłącz
settings.notifications.quietFrom	Nie powiadamiaj od
settings.notifications.quietTo	do
settings.notifications.criticalBypass	Alerty krytyczne omijają ciszę nocną
settings.gdpr.dpaSigned	Podpisana 14 stycznia 2024
settings.gdpr.dpaVersion	wersja 3.1
settings.gdpr.dpaProcessor	podmiot przetwarzający: Kivvi sp. z o.o.
settings.gdpr.downloadPdf	Pobierz PDF
settings.gdpr.signNewVersion	Podpisz nową wersję
settings.gdpr.dpaRegionBefore	Dane przechowywane są w regionie
settings.gdpr.dpaRegionAfter	Podprzetwarzający: Amazon Web Services, SendGrid (EU). Lista podprzetwarzających jest częścią DPA.
settings.gdpr.retentionCardSub	po upływie okresu dane są nieodwracalnie usuwane
settings.gdpr.anonymizeIp	Anonimizuj adresy IP w zdarzeniach (ostatni oktet)
settings.gdpr.consentGate	Nie zapisuj zdarzeń, dopóki nie ma zgody na cookies analityczne
settings.gdpr.mlConsent	Wyłącz profilowanie ML dla klientów z UE bez wyraźnej zgody
settings.gdpr.columnPerson	Osoba
settings.gdpr.columnType	Typ
settings.gdpr.columnStatus	Status
settings.gdpr.columnDue	Termin
settings.gdpr.dsrCardSub	termin ustawowy: 30 dni
settings.gdpr.newRequest	Nowe żądanie
settings.gdpr.exportAllTitle	Eksport wszystkich danych konta
settings.gdpr.exportAllSub	JSON + CSV, przygotowanie do 24 godzin
settings.gdpr.orderExport	Zamów eksport
settings.gdpr.eraseCustomerTitle	Usuń dane pojedynczego klienta
settings.gdpr.eraseCustomerSub	Po e-mailu lub customer_id — natychmiastowe i nieodwracalne
settings.gdpr.eraseCustomer	Usuń klienta
